name,Athletic_rank,play_or_not,start_age,end_age,start_year,end_year,n_seasons,championships,super_bowl_MVP,division_champions,MVP,MVP_2,MVP_3,OPOY,OPOY_2,OPOY_3,DPOY,DPOY_2,DPOY_3,passing_touchdowns_leader,passing_yards_leader,passer_rating_leader,receiving_touchdowns_leader,receiving_yards_leader,receptions_leader,sacks_leader,scoring_leader,OROY,DROY,CPOY,CPOY_2,CPOY_3,COY,COY_2,COY_3,AFC_OPOY,NFC_OPOY,AFC_DPOY,NFC_DPOY,AFC_COY,NFC_COY,NFL_First_team_All_Pro,NFL_Second_team_All_Pro,Pro_Bowl,Olympic_gold,NCAA_football_championship,hall_of_fame,team_hall_of_fame,Walter_Payton_Man_of_Year,FedEx_Air_NFL_Player_of_Year,Pepsi_Rookie_of_the_Year,Art_Rooney_Award,Deacon_Jones_Award,Jim_Brown_Award,bert_bell_award,Don_Shula_High_School_Coach_of_Year,75_stars,sportsman_of_year_Laureus,sportsman_of_year_Laureus_nominated,sportsperson_of_year_SI,ESPY_male_athlete,ESPY_NFL,ESPY_breakthrough,ESPY_outstanding_team,Gatorade_Player_of_Year,TIME,Associated_Press_Athlete_of_the_Year,Sports_Emmy_Awards
,,,,,,,,championships,super_bowl_MVP,division_champions,MVP,MVP,MVP,OPOY,OPOY,OPOY,DPOY,DPOY,DPOY,passing_touchdowns_leader,passing_yards_leader,passer_rating_leader,receiving_touchdowns_leader,receiving_yards_leader,receptions_leader,sacks_leader,scoring_leader,OPOY,DPOY,CPOY,CPOY,CPOY,COY,COY,COY,AFC_OPOY,AFC_OPOY,AFC_OPOY,AFC_OPOY,AFC_OPOY,AFC_OPOY,NFL_First_team_All_Pro,NFL_Second_team_All_Pro,Pro_Bowl,Olympic_gold,NCAA_football_championship,hall_of_fame,team_hall_of_fame,Walter_Payton_Man_of_Year,FedEx_Air_NFL_Player_of_Year,Pepsi_Rookie_of_the_Year,Art_Rooney_Award,Deacon_Jones_Award,Jim_Brown_Award,bert_bell_award,Don_Shula_High_School_Coach_of_Year,75_stars,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsperson_of_year_SI,ESPY_male_athlete,ESPY_NBA,ESPY_NBA,ESPY_NBA,Gatorade_Player_of_Year,TIME,Associated_Press_Athlete_of_the_Year,Sports_Emmy_Awards
,,,,,,,,50,65,70,60,36,22,45,28,17,45,28,17,65,65,65,65,65,65,65,65,40,40,40,25,15,40,25,15,65,65,65,65,65,65,55,55,46,70,29,40,44,55,55,50,50,50,50,50,50,50,60,30,38,32,25,25,25,33,60,50,65
Tom Brady,0,retired,22,45,2000,2023,23,7,5,10,3,4,2,2,0,3,0,0,0,5,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,3,15,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,2,1,3,1,1,0,1,1,1
