name,Athletic_rank,play_or_not,start_age,end_age,start_year,end_year,n_seasons,masters_tournament,masters_tournament_2,US_Open,US_Open_2,The_Open_Championship,The_Open_Championship_2,PGA_Championship,PGA_Championship_2,The_Players_Championship,The_Players_Championship_2,WGC_Championship,WGC_Championship_2,WGC_Match_Play_Championship,WGC_Match_Play_Championship_2,WGC_Invitational,WGC_Invitational_2,The_Tour_Championship,The_Tour_Championship_2,WGC_World_Cup,WGC_World_Cup_2,Ryder_Cup,Presidents_Cup,other_championships,other_championships_2,Olympic_gold,golf_hall_of_fame,sportsman_of_year_Laureus,Laureus_breakthrough,Laureus_comeback,Laureus_Lifetime_Achievement,Laureus_Spirit_of_Sport,sportsman_of_year_Laureus_nominated,sportsperson_of_year_SI,PGA_player_of_year,PGA_tour_player_of_year,Vardon_Trophy,Mark_H_McCormack_Award,Byron_Nelson_Award,PGA_Rookie_of_Year,Fred_Haskins_Award,ESPY_male_athlete,ESPY_golf,ESPY_breakthrough,ESPY_outstanding_team,european_sportsperson_of_year,LÉquipe_Champion_of_Champions,Marca_Legend,presidential_medal_of_freedom,Sports_Emmy_Awards,Associated_Press_Athlete_of_the_Year,TIME
,,,,,,,,masters_tournament,masters_tournament,US_Open,US_Open,The_Open_Championship,The_Open_Championship,PGA_Championship,PGA_Championship,The_Players_Championship,The_Players_Championship,WGC_Championship,WGC_Championship,WGC_Match_Play_Championship,WGC_Match_Play_Championship,WGC_Invitational,WGC_Invitational,The_Tour_Championship,The_Tour_Championship,WGC_World_Cup,WGC_World_Cup,Ryder_Cup,Presidents_Cup,1,1,Olympic_gold,golf_hall_of_fame,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsperson_of_year_SI,PGA_player_of_year,PGA_tour_player_of_year,Vardon_Trophy,Mark_H_McCormack_Award,Byron_Nelson_Award,PGA_Rookie_of_Year,Fred_Haskins_Award,ESPY_male_athlete,ESPY_NBA,ESPY_NBA,ESPY_NBA,european_sportsperson_of_year,LÉquipe_Champion_of_Champions,Marca_Legend,presidential_medal_of_freedom,Sports_Emmy_Awards,Associated_Press_Athlete_of_the_Year,TIME
,,,,,,,,95,50,58,33,52,28,75,42,40,23,60,33,68,37,42,23,86,45,60,33,40,40,56,31,49,49,60,45,45,45,45,30,38,38,24,38,48,27,19,48,32,25,25,25,28,45,80,37,43,50,65
Tiger Woods,0,retired,16,41,1998,2022,25,5,2,3,2,3,0,4,3,2,1,7,0,3,1,8,1,5,0,2,0,1,7,42,21,0,0,2,0,1,0,0,6,2,11,11,9,14,9,1,1,4,7,0,0,0,0,0,1,0,4,0
