name,rank,play_or_not,start_age,end_age,start_year,end_year,n_seasons,football_world_cup,football_world_cup_2,football_world_cup_3,worldcup_Golden_Ball,worldcup_Silver_Ball,worldcup_Bronze_Ball,worldcup_Golden_Boot,worldcup_Silver_Boot,worldcup_Bronze_Boot,Europe_Football_Championship,Europe_Football_Championship_2,Europe_Football_Championship_3,South_American_Football_Championship,South_American_Football_Championship_2,South_American_Football_Championship_3,South_America_Golden_Ball,South_America_top_scorer,South_America_top_scorer_2,Copa_America_Best_Young_Player,European_South_American_Nations_Cup,European_South_American_Nations_Cup_2,European_South_American_Nations_Cup_3,golden_ball,golden_ball_2,golden_ball_3,FIFA_World_Player_of_Year,UEFA_Champions_League,UEFA_Champions_League_2,UEFA_Champions_League_3,Champions_League_Player_of_Season,UEFA_Club_Forward_of_Year,Champions_League_top_scorer,UEFA_Super_Cup,UEFA_Super_Cup_2,UEFA_Super_Cup_3,UEFA_Super_Cup_golden_boot,UEFA_men_player_of_year,UEFA_men_player_of_year_2,UEFA_weekly_best,LALIGA_EA_SPORTS,LALIGA_EA_SPORTS_2,LALIGA_EA_SPORTS_3,la_liga_player_of_the_year,la_liga_best_forward,la_liga_top_scorer,la_liga_player_of_the_month,Mundo_Deportivo_Trophy_MVP_La_Liga,La_Copa,La_Copa_2,La_Copa_3,La_Copa_top_scorer,Spanish_Super_Cup,Spanish_Super_Cup_2,Spanish_Super_Cup_3,Spanish_Super_Cup_top_scorer,Barça_Players_Award,Trofeo_Aldo_Rovira,European_Golden_Boy,FIFA_Club_World_Cup,FIFA_Club_World_Cup_Golden_Ball,FIFA_Club_World_Cup_Silver_Ball,FIFA_Club_World_Cup_Bronze_Ball,FIFA_Club_World_Cup_golden_boot,Ligue_1,Ligue_1_2,Ligue_1_3,Best_foreign_player_in_Ligue_1,Ligue_1_monthly_best,Trophée_des_Champions,Trophée_des_Champions_2,Trophée_des_Champions_3,Trophée_des_Champions_Best_Player,Leagues_Cup,Leagues_Cup_2,Leagues_Cup_3,Leagues_Cup_MVP,Leagues_Cup_Top_Scorer,US_Open_Cup,US_Open_Cup_2,US_Open_Cup_3,FIFA_worldcup_u20_trophy,FIFA_U_20_World_Cup_Best_Player,FIFA_worldcup_u20_golden_boot,European_Golden_Boot,European_Silver_Boot,European_Bronze_Boot,The_Best_FIFA_Men_Player,The_Best_FIFA_Men_Coach,FIFPRO_young_Player_of_Year,FIFPro_world_11,Di_Stéfano_trophy,Trofeo_EFE,IFFHS,IFFHS_2,IFFHS_3,don_balón_award,World_Cup_team,South_America_Cup_team,UEFA_team,UEFA_Champion_League_team,Ligue_1_Team_of_Year,IFFHS_team,UEFA_Goal_of_Season,Joan_Gamper_Trophy,Joan_Gamper_MVP,ramon_carranza_trophy,Franz_Beckenbauer_Cup,Copa_Times_of_India,Tournoi_de_Paris,Summer_of_Champions_Cup,International_Champions_Cup,Superclasico_americas_trophy,Nelson_Mandela_Centenary_Trophy,Copa_San_Juan,riyadh_season_cup,Olympic_gold,sportsman_of_year_Laureus,sportsman_of_year_Laureus_nominated_team,sportsman_of_year_Laureus_nominated,sportsperson_of_year_SI,Diamond_Konex_Award_Best_argentine,Argentine_Sportsman_of_Year,Argentine_Footballer_of_Year,ESPY_male_athlete,ESPY_other,ESPY_best_soccer_forward,Onze_dOr,Onze_dOr_2,Onze_dOr_3,Global_soccer_Player_of_the_Year,fourthreethree,Golden_foot,Golden_foot_nominated,Goal_50,Goal_50_2,Goal_50_3,LÉquipe_player_of_century,LÉquipe_champion_of_champions,Marca_Legend,FIFPRO_World_Player_of_Year,FIFPRO_Young_Player_of_Year,Bravo_Award,Peace_and_sport,90min_footballer_GOAT,FourFourTwo_footballer_GOAT,Voetbal_International_footballer_GOAT,The_Independent_greatest_in_21_century,AIPS_athlete_of_year,The_Sporting_News_Athlete_of_the_Year,TIME_athlete_of_year,BBC_World_Sport_Star_of_Year,EL_Paris,World_Soccer,World_Soccer_young_player,LÉquipe_player_of_year,fourfourtwo,SofaScore_The_Absolute_Statsman,Marca_100,The_Guardian,The_Sun_Best_footballer_of_year,Sky_Sports_player_of_year,Kicker_best_player_of_the_world,Prensa_Latina_Athlete_of_latin_america_and_caribbean
,,,,,,,,football_world_cup,football_world_cup,football_world_cup,worldcup_Golden_Ball,worldcup_Silver_Ball,worldcup_Bronze_Ball,worldcup_Golden_Boot,worldcup_Silver_Boot,worldcup_Bronze_Boot,Europe_Football_Championship,Europe_Football_Championship,Europe_Football_Championship,South_American_Football_Championship,South_American_Football_Championship,South_American_Football_Championship,South_America_Golden_Ball,South_America_top_scorer,South_America_top_scorer,Copa_America_Best_Young_Player,European_South_American_Nations_Cup,European_South_American_Nations_Cup,European_South_American_Nations_Cup,golden_ball,golden_ball,golden_ball,FIFA_World_Player_of_Year,UEFA_Champions_League,UEFA_Champions_League,UEFA_Champions_League,Champions_League_Player_of_Season,Champions_League_Player_of_Season,Champions_League_top_scorer,UEFA_Super_Cup,UEFA_Super_Cup,UEFA_Super_Cup,worldcup_Golden_Boot,UEFA_men_player_of_year,UEFA_men_player_of_year,weekly_best,LALIGA_EA_SPORTS,LALIGA_EA_SPORTS,LALIGA_EA_SPORTS,la_liga_player_of_the_year,la_liga_player_of_the_year,la_liga_top_scorer,la_liga_player_of_the_month,Mundo_Deportivo_Trophy_MVP_La_Liga,La_Copa,La_Copa,La_Copa,la_liga_top_scorer,Spanish_Super_Cup,Spanish_Super_Cup,Spanish_Super_Cup,la_liga_top_scorer,Barça_Players_Award,Trofeo_Aldo_Rovira,European_Golden_Boy,FIFA_Club_World_Cup,worldcup_Golden_Ball,worldcup_Silver_Ball,worldcup_Bronze_Ball,worldcup_Golden_Boot,Ligue_1,Ligue_1,Ligue_1,Best_foreign_player_in_Ligue_1,monthly_best,Trophée_des_Champions,Trophée_des_Champions,Trophée_des_Champions,Trophée_des_Champions_Best_Player,Leagues_Cup,Leagues_Cup,Leagues_Cup,Leagues_Cup_MVP,Leagues_Cup_Top_Scorer,US_Open_Cup,US_Open_Cup,US_Open_Cup,FIFA_worldcup_u20_trophy,FIFA_U_20_World_Cup_Best_Player,worldcup_Golden_Boot,European_Golden_Shoe,European_Golden_Shoe,European_Golden_Shoe,Best_FIFA_Football_Awards,Best_FIFA_Football_Awards,Best_FIFA_Football_Awards,FIFPro_world_11,Di_Stéfano_trophy,Trofeo_EFE,IFFHS,IFFHS,IFFHS,don_balón_award,World_Cup_team,South_America_Cup_team,UEFA_team,UEFA_Champion_League_team,Ligue_1_Team_of_Year,IFFHS_team,UEFA_Goal_of_Season,Joan_Gamper_Trophy,Joan_Gamper_MVP,ramon_carranza_trophy,Franz_Beckenbauer_Cup,Copa_Times_of_India,Tournoi_de_Paris,Summer_of_Champions_Cup,International_Champions_Cup,Superclasico_americas_trophy,Nelson_Mandela_Centenary_Trophy,Copa_San_Juan,riyadh_season_cup,Olympic_gold,sportsman_of_year_Laureus,sportsman_of_year_Laureus_team,sportsman_of_year_Laureus,sportsperson_of_year_SI,Diamond_Konex_Award_Best_argentine,Argentine_Sportsman_of_Year,Argentine_Footballer_of_Year,ESPY_male_athlete,ESPY_male_athlete,ESPY_male_athlete,Onze_dOr,Onze_dOr,Onze_dOr,Global_soccer,433,Golden_foot,Golden_foot,Goal_50,Goal_50,Goal_50,LÉquipe_player_of_century,LÉquipe_champion_of_champions,Marca_Legend,FIFPRO_World_Player_of_Year,FIFPRO_World_Player_of_Year,Bravo_Award,Peace_and_sport,90min,442,Voetbal_International,The_Independent,AIPS_athlete_of_year,The_Sporting_News,TIME,BBC_World,EL_Paris,World_Soccer,World_Soccer,Léquipe,442,SofaScore_The_Absolute_Statsman,Marca,The_Guardian,The_Sun,Sky_Sports,Kicker,Prensa_Latina
,,,,,,,,70,42,27,45,45,45,60,60,60,60,35,20,74,43,25,60,40,25,50,62,35,22,80,50,30,57,65,35,20,65,52,40,45,25,16,60,60,36,25,70,40,25,37,28,45,27,50,60,35,20,45,57,35,20,45,40,33,60,50,37,37,37,60,90,55,35,46,30,55,33,20,33,70,40,20,55,55,60,35,20,50,32,60,85,50,30,45,45,35,45,37,37,40,25,15,50,65,65,65,65,65,65,35,45,50,50,50,33,53,53,40,33,33,48,60,50,60,50,30,40,32,30,30,32,25,18,58,39,25,47,55,37,20,75,47,28,20,20,80,35,22,50,50,80,90,90,60,52,40,60,60,80,90,60,80,60,20,70,70,70,80,70,50
Lionel Messi,0,playing,16,37,2003,2024,21,1,1,0,2,0,0,0,1,0,0,0,0,1,3,1,2,1,1,1,1,0,0,8,5,1,7,4,0,0,1,2,6,3,1,0,2,2,5,10,10,0,0,9,10,8,10,2,7,3,0,4,8,4,0,5,1,6,1,3,2,1,0,1,2,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,6,1,0,2,0,3,17,7,5,25,7,4,3,2,4,12,10,1,7,4,12,4,1,1,1,1,1,1,2,1,1,1,1,2,3,5,0,1,4,16,0,6,8,4,4,0,1,1,0,6,7,4,3,0,2,1,0,1,1,1,1,1,1,1,2,1,1,1,4,6,3,1,8,5,3,6,1,7,7,1
