name,Athletic_rank,play_or_not,start_age,end_age,start_year,end_year,n_seasons,championships_Stanley_Cup,playoff_MVP_Conn_Smythe_Trophy,MVP_Hart_Memorial_Trophy,MVP_Hart_Memorial_Trophy_2,MVP_Hart_Memorial_Trophy_3,western_conference_champions_Clarence_S_Campbell_Bowl,eastern_conference_champions_Prince_of_Wales_Trophy,Ted_Lindsay_Award,Ted_Lindsay_Award_2,Ted_Lindsay_Award_3,Vezina_Trophy,Vezina_Trophy_2,Vezina_Trophy_3,DPOY_James_Norris_Memorial_Trophy,DPOY_James_Norris_Memorial_Trophy_2,DPOY_James_Norris_Memorial_Trophy_3,DFOY_Frank_J_Selke_Trophy,DFOY_Frank_J_Selke_Trophy_2,DFOY_Frank_J_Selke_Trophy_3,Art_Ross_Trophy,Art_Ross_Trophy_2,Art_Ross_Trophy_3,Maurice_Richard_Trophy,Maurice_Richard_Trophy_2,Maurice_Richard_Trophy_3,William_M_Jennings_Trophy,William_M_Jennings_Trophy_2,William_M_Jennings_Trophy_3,NHL_Plus_Minus_Award,Roger_Crozier_Saving_Grace_Award,ROY_Calder_Memoria_Trophy,Lou_Kaplan_Trophy,COY_Jack_Adams_Award,Presidents_Trophy,NHL_all_star_team_1,NHL_all_star_team_2,NHL_all_star,NHL_All_Star_MVP,monthly_best,weekly_best,rookie_of_month,Olympic_gold,Canada_Cup,Russian_KHL,NCAA_ice_hockey_championship,New_York_Rangers_MVP,Rendezvous_87_MVP,hockey_hall_of_fame,IIHF_Hall_of_Fame,world_hockey_association_hall_of_fame,Order_of_Hockey_in_Canada,Lady_Byng_Trophy,Lady_Byng_Trophy_2,Lady_Byng_Trophy_3,Bill_Masterton_Memorial_Trophy,King_Clancy_Memorial_Trophy,Mark_Messier_Leadership_Award,EJ_McGuire_Award_of_Excellence,NHL_Foundation_Player_Award,Northern_Star_Award,Lionel_Conacher_Award,sportsman_of_year_Laureus,sportsman_of_year_Laureus_nominated,sportsperson_of_year_SI,ESPY_male_athlete,ESPY_NHL,ESPY_breakthrough,ESPY_outstanding_team,Gatorade_Player_of_Year,Lester_Patrick_Trophy,Canada_Walk_of_Fame,Horatio_Alger_Award,Charlie_Conacher_Humanitarian_Award,Sports_Emmy_Awards,Associated_Press_Athlete_of_the_Year,TIME
,,,,,,,,championships_Stanley_Cup,playoff_MVP_Conn_Smythe_Trophy,MVP_Hart_Memorial_Trophy,MVP_Hart_Memorial_Trophy,MVP_Hart_Memorial_Trophy,western_conference_champions_Clarence_S_Campbell_Bowl,eastern_conference_champions_Prince_of_Wales_Trophy,Ted_Lindsay_Award,Ted_Lindsay_Award,Ted_Lindsay_Award,Vezina_Trophy,Vezina_Trophy,Vezina_Trophy,DPOY_James_Norris_Memorial_Trophy,DPOY_James_Norris_Memorial_Trophy,DPOY_James_Norris_Memorial_Trophy,DFOY_Frank_J_Selke_Trophy,DFOY_Frank_J_Selke_Trophy,DFOY_Frank_J_Selke_Trophy,Art_Ross_Trophy,Art_Ross_Trophy,Art_Ross_Trophy,Maurice_Richard_Trophy,Maurice_Richard_Trophy,Maurice_Richard_Trophy,William_M_Jennings_Trophy,William_M_Jennings_Trophy,William_M_Jennings_Trophy,NHL_Plus_Minus_Award,Roger_Crozier_Saving_Grace_Award,ROY_Calder_Memoria_Trophy,Lou_Kaplan_Trophy,COY_Jack_Adams_Award,Presidents_Trophy,NHL_all_star_team_1,NHL_all_star_team_2,NHL_all_star,NHL_All_Star_MVP,monthly_best,weekly_best,rookie_of_month,Olympic_gold,Canada_Cup,Russian_KHL,NCAA_ice_hockey_championship,New_York_Rangers_MVP,Rendezvous_87_MVP,hockey_hall_of_fame,IIHF_Hall_of_Fame,world_hockey_association_hall_of_fame,Order_of_Hockey_in_Canada,Lady_Byng_Trophy,Lady_Byng_Trophy,Lady_Byng_Trophy,Bill_Masterton_Memorial_Trophy,King_Clancy_Memorial_Trophy,Mark_Messier_Leadership_Award,EJ_McGuire_Award_of_Excellence,NHL_Foundation_Player_Award,Northern_Star_Award,Lionel_Conacher_Award,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsperson_of_year_SI,ESPY_male_athlete,ESPY_NBA,ESPY_NBA,ESPY_NBA,Gatorade_Player_of_Year,Lester_Patrick_Trophy,Canada_Walk_of_Fame,Horatio_Alger_Award,Charlie_Conacher_Humanitarian_Award,Sports_Emmy_Awards,Associated_Press_Athlete_of_the_Year,TIME
,,,,,,,,62,67,49,28,17,67,67,55,32,20,60,36,22,60,36,22,60,36,22,60,36,22,75,44,26,60,36,22,37,60,60,65,60,50,60,60,55,35,55,55,55,40,40,40,40,60,60,65,27,80,90,42,25,15,40,40,40,40,40,60,50,60,30,38,32,25,25,25,33,55,60,52,55,43,50,65
Wayne Gretzky,0,retired,18,38,1979,1999,20,4,2,9,1,1,6,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,4,0,0,1,0,2,8,7,18,3,0,0,0,1,3,0,0,1,1,1,1,1,1,5,5,2,0,0,0,0,0,4,7,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0
