name,Athletic_rank,play_or_not,start_age,end_age,start_year,end_year,n_seasons,Olympics_Gold,Olympics_Silver,Olympics_Bronze,World_Athletics_Championships,World_Athletics_Championships_Silver,World_Athletics_Championships_Bronze,World_Athletics_Relays_Championships,World_Athletics_Relays_Championships_Silver,World_Athletics_Relays_Championships_Bronze,World_Athletics_Indoor_Championships,World_Athletics_Indoor_Championships_Silver,World_Athletics_Indoor_Championships_Bronze,african_championships_in_athletics,african_championships_in_athletics_2,african_championships_in_athletics_3,All_African_Games,All_African_Games_2,All_African_Games_3,CAC_Championships,Commonwealth_Games,Commonwealth_Games_Silver,Commonwealth_Games_Bronze,World_Cross_Country_Championship,World_Cross_Country_Championship_Silver,World_Cross_Country_Championship_Bronze,World_Marathon_Majors,World_Marathon_Majors_2,World_Marathon_Majors_3,World_Athletics_U20_Championships,IAAF_Hall_of_Fame,World_Athlete_of_Year,track_and_field_athlete_of_year,sportsman_of_year_Laureus,Laureus_breakthrough,Laureus_comeback,Laureus_Lifetime_Achievement,Laureus_Spirit_of_Sport,sportsman_of_year_Laureus_nominated,sportsperson_of_year_SI,ESPY_male_athlete,ESPY_tennis,ESPY_breakthrough,ESPY_outstanding_team,LÉquipe_Champion_of_Champions,Jamaica_Sportsman_of_year,Marca_Legend,Sports_Emmy_Awards,Associated_Press_Athlete_of_the_Year,TIME,5000m,10000m,HM,M
,,,,,,,,Olympics_Gold,Olympics_Silver,Olympics_Bronze,World_Athletics_Championships,World_Athletics_Championships_Silver,World_Athletics_Championships_Bronze,World_Athletics_Championships,World_Athletics_Championships_Silver,World_Athletics_Championships_Bronze,World_Athletics_Indoor_Championships,World_Athletics_Indoor_Championships_Silver,World_Athletics_Indoor_Championships_Bronze,african_championships_in_athletics,african_championships_in_athletics,african_championships_in_athletics,All_African_Games,All_African_Games,All_African_Games,CAC_Championships,Commonwealth_Games,Commonwealth_Games_Silver,Commonwealth_Games_Bronze,World_Cross_Country_Championship,World_Cross_Country_Championship_Silver,World_Cross_Country_Championship_Bronze,World_Marathon_Majors,World_Marathon_Majors,World_Marathon_Majors,World_Athletics_U20_Championships,IAAF_Hall_of_Fame,World_Athlete_of_Year,track_and_field,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsperson_of_year_SI,ESPY_male_athlete,ESPY_NBA,ESPY_NBA,ESPY_NBA,LÉquipe_Champion_of_Champions,Jamaica_Sportsman_of_year,Marca_Legend,Sports_Emmy_Awards,Associated_Press_Athlete_of_the_Year,TIME,,,,
,,,,,,,,90,90,90,70,70,70,70,70,70,53,53,53,53,29,16,53,29,16,32,40,40,40,40,40,40,53,34,20,40,90,66,80,60,45,45,45,45,30,38,32,25,25,25,45,20,80,43,50,65,,,,
Kenenisa Bekele,0,retired,18,41,2001,2023,22,3,1,0,5,0,1,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,11,1,0,2,1,2,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12:37.4,26:17.5,1:00:22,2:01:41
