name,Athletic_rank,play_or_not,start_age,end_age,start_year,end_year,n_seasons,Olympics_Gold,Olympics_Silver,Olympics_Bronze,World_Championships_single,World_Championships_single_2,World_Championships_double,World_Championships_double_2,World_Championships_team,World_Championships_team_2,World_Cup_single,World_Cup_single_2,World_Cup_single_3,World_Cup_team,World_Cup_team_2,World_Cup_team_3,Asian_Games,Asian_Games_Silver,Asian_Games_Bronze,Asian_Championships,Asian_Championships_2,Asian_Championships_3,Asian_Cup,Asian_Cup_2,Asian_Cup_3,World_Junior_Championships,World_Junior_Championships_2,World_Junior_Championships_3,World_Junior_Championships_team,World_Junior_Championships_team_2,World_Junior_Championships_team_3,Asian_Junior_Championships,Asian_Junior_Championships_2,Asian_Junior_Championships_3,ITTF_World_Tour_Grand_Finals_Champion,ITTF_World_Tour_Grand_Finals_Champion_2,World_Tour_winner,World_Tour_winner_2,table_tennis_Hall_of_Fame,ITTF_Male_Player_of_Year,sportsman_of_year_Laureus,Laureus_breakthrough,Laureus_comeback,Laureus_Lifetime_Achievement,Laureus_Spirit_of_Sport,sportsman_of_year_Laureus_nominated,sportsperson_of_year_SI,ESPY_male_athlete,ESPY_tennis,ESPY_breakthrough,ESPY_outstanding_team,LÉquipe_Champion_of_Champions,Jamaica_Sportsman_of_year,Marca_Legend,Sports_Emmy_Awards,Associated_Press_Athlete_of_the_Year,TIME
,,,,,,,,Olympics_Gold,Olympics_Silver,Olympics_Bronze,World_Championships_single,World_Championships_single,World_Championships_double,World_Championships_double,World_Championships_team,World_Championships_team,World_Cup_single,World_Cup_single,World_Cup_single,World_Cup_team,World_Cup_team,World_Cup_team,Asian_Games,Asian_Games_Silver,Asian_Games_Bronze,Asian_Championships,Asian_Championships,Asian_Championships,Asian_Cup,Asian_Cup,Asian_Cup,World_Junior_Championships,World_Junior_Championships,World_Junior_Championships,World_Junior_Championships_team,World_Junior_Championships_team,World_Junior_Championships_team,Asian_Junior_Championships,Asian_Junior_Championships,Asian_Junior_Championships,ITTF_World_Tour_Grand_Finals_Champion,ITTF_World_Tour_Grand_Finals_Champion,1,1,table_tennis_Hall_of_Fame,ITTF_Male_Player_of_Year,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsman_of_year_Laureus,sportsperson_of_year_SI,ESPY_male_athlete,ESPY_NBA,ESPY_NBA,ESPY_NBA,LÉquipe_Champion_of_Champions,Jamaica_Sportsman_of_year,Marca_Legend,Sports_Emmy_Awards,Associated_Press_Athlete_of_the_Year,TIME
,,,,,,,,90,90,90,55,30,47,26,45,25,49,28,16,60,37,20,58,58,58,70,44,24,58,33,18,35,20,12,40,23,13,50,28,16,50,27,58,31,50,35,60,45,45,45,45,30,38,32,25,25,25,45,20,80,43,50,65
Ma Long,0,playing,17,35,2006,2023,17,5,0,0,3,0,2,1,8,0,2,2,3,7,0,0,6,0,0,15,1,0,4,1,0,1,0,0,2,0,0,3,0,0,7,3,50,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
